word,list,class,super
caterpillar,butterfly,semantic,0
cocoon,butterfly,semantic,0
monarch,butterfly,semantic,0
flutter,butterfly,semantic,0
metamorphosis,butterfly,semantic,0
dragonfly,butterfly,semantic,0
wings,butterfly,semantic,0
camouflage,butterfly,semantic,0
fragile,butterfly,semantic,0
slight,butterfly,semantic,0
fortress,castle,semantic,0
stronghold,castle,semantic,0
medieval,castle,semantic,0
chateau,castle,semantic,0
courtyard,castle,semantic,0
dungeon,castle,semantic,0
towers,castle,semantic,0
feudal,castle,semantic,0
throne,castle,semantic,0
mansion,castle,semantic,0
trickster,magician,semantic,0
hypnotist,magician,semantic,0
sorcerer,magician,semantic,0
rabbit,magician,semantic,0
conjure,magician,semantic,0
vanish,magician,semantic,0
juggling,magician,semantic,0
enchanted,magician,semantic,0
wizard,magician,semantic,0
spells,magician,semantic,0
madman,lunatic,semantic,0
insanity,lunatic,semantic,0
maniac,lunatic,semantic,0
demented,lunatic,semantic,0
psychotic,lunatic,semantic,0
asylum,lunatic,semantic,0
ranting,lunatic,semantic,0
hallucination,lunatic,semantic,0
deranged,lunatic,semantic,0
psychopath,lunatic,semantic,0
emerald,diamond,semantic,0
rubies,diamond,semantic,0
rhinestones,diamond,semantic,0
carat,diamond,semantic,0
brilliance,diamond,semantic,0
precious,diamond,semantic,0
hardness,diamond,semantic,0
sparkle,diamond,semantic,0
glittering,diamond,semantic,0
priceless,diamond,semantic,0
bettor,gambler,semantic,0
wager,gambler,semantic,0
bookie,gambler,semantic,0
roulette,gambler,semantic,0
casino,gambler,semantic,0
poker,gambler,semantic,0
stakes,gambler,semantic,0
jackpot,gambler,semantic,0
lottery,gambler,semantic,0
blackjack,gambler,semantic,0
fossils,dinosaur,semantic,0
extinction,dinosaur,semantic,0
reptiles,dinosaur,semantic,0
swamps,dinosaur,semantic,0
glaciers,dinosaur,semantic,0
skeletons,dinosaur,semantic,0
brontosaurus,dinosaur,semantic,0
amphibians,dinosaur,semantic,0
mammoth,dinosaur,semantic,0
artifacts,dinosaur,semantic,0
workout,fitness,semantic,0
exertion,fitness,semantic,0
jogging,fitness,semantic,0
nutrition,fitness,semantic,0
aerobics,fitness,semantic,0
toning,fitness,semantic,0
physique,fitness,semantic,0
biceps,fitness,semantic,0
sweating,fitness,semantic,0
barbells,fitness,semantic,0
spaceman,astronaut,semantic,0
cosmonaut,astronaut,semantic,0
shuttle,astronaut,semantic,0
satellite,astronaut,semantic,0
weightlessness,astronaut,semantic,0
gravity,astronaut,semantic,0
atmospheres,astronaut,semantic,0
voyager,astronaut,semantic,0
rocket,astronaut,semantic,0
orbiting,astronaut,semantic,0
mummies,pyramid,semantic,0
hieroglyphics,pyramid,semantic,0
egyptian,pyramid,semantic,0
pharaoh,pyramid,semantic,0
tombs,pyramid,semantic,0
triangular,pyramid,semantic,0
catacombs,pyramid,semantic,0
embalming,pyramid,semantic,0
underworld,pyramid,semantic,0
vault,pyramid,semantic,0
burglary,robbery,semantic,0
theft,robbery,semantic,0
wallet,robbery,semantic,0
holdup,robbery,semantic,0
booty,robbery,semantic,0
mugging,robbery,semantic,0
stickup,robbery,semantic,0
stealing,robbery,semantic,0
bandit,robbery,semantic,0
assailant,robbery,semantic,0
diapers,infant,semantic,0
teething,infant,semantic,0
highchair,infant,semantic,0
stroller,infant,semantic,0
cradle,infant,semantic,0
rattle,infant,semantic,0
lullaby,infant,semantic,0
pacifier,infant,semantic,0
babble,infant,semantic,0
stork,infant,semantic,0
cyclone,tornado,semantic,0
typhoon,tornado,semantic,0
twister,tornado,semantic,0
funnel,tornado,semantic,0
whirlwind,tornado,semantic,0
sirens,tornado,semantic,0
whirling,tornado,semantic,0
gusts,tornado,semantic,0
spiral,tornado,semantic,0
windstorm,tornado,semantic,0
specter,phantom,semantic,0
ghoul,phantom,semantic,0
goblin,phantom,semantic,0
apparition,phantom,semantic,0
ghost,phantom,semantic,0
haunting,phantom,semantic,0
spooky,phantom,semantic,0
beckon,phantom,semantic,0
paranormal,phantom,semantic,0
gloomy,phantom,semantic,0
clown,comedian,semantic,0
joker,comedian,semantic,0
humorist,comedian,semantic,0
slapstick,comedian,semantic,0
comic,comedian,semantic,0
lampoon,comedian,semantic,0
buffoon,comedian,semantic,0
monologue,comedian,semantic,0
punster,comedian,semantic,0
improvisation,comedian,semantic,0
jargon,,semantic,1
pauper,,semantic,1
apartment,,semantic,1
stationer,,semantic,1
opossum,,semantic,1
monoxide,,semantic,1
antiquity,,semantic,1
storeroom,,semantic,1
bagel,,semantic,1
tribesman,,semantic,1
jasmine,,semantic,1
linguistics,,semantic,1
bison,,semantic,1
triplicate,,semantic,1
carport,,semantic,1
warmhearted,,semantic,1
thicket,,semantic,1
piccolo,,semantic,1
dachshund,,semantic,1
unformed,,semantic,1
inferno,,semantic,1
undergrowth,,semantic,1
canvas,,semantic,1
tortilla,,semantic,1
thesaurus,,semantic,1
synopsis,,semantic,1
housecoat,,semantic,1
podium,,semantic,1
sable,,semantic,1
convenience,,semantic,1
attic,,semantic,1
industry,,semantic,1
silhouette,,semantic,1
schoolyard,,semantic,1
invitation,,semantic,1
mooring,,semantic,1
scissors,,semantic,1
gutter,,semantic,1
mechanical,,semantic,1
biologist,,semantic,1
promenade,,semantic,1
honeycomb,,semantic,1
gazette,,semantic,1
purple,,semantic,1
mate,fate,phonetic,0
late,fate,phonetic,0
date,fate,phonetic,0
fade,fate,phonetic,0
face,fate,phonetic,0
hate,fate,phonetic,0
gate,fate,phonetic,0
fame,fate,phonetic,0
fake,fate,phonetic,0
rate,fate,phonetic,0
pop,cop,phonetic,0
hop,cop,phonetic,0
top,cop,phonetic,0
cot,cop,phonetic,0
cod,cop,phonetic,0
cog,cop,phonetic,0
mop,cop,phonetic,0
cob,cop,phonetic,0
con,cop,phonetic,0
bop,cop,phonetic,0
deal,teal,phonetic,0
heal,teal,phonetic,0
meal,teal,phonetic,0
peal,teal,phonetic,0
real,teal,phonetic,0
seal,teal,phonetic,0
veal,teal,phonetic,0
team,teal,phonetic,0
teas,teal,phonetic,0
teat,teal,phonetic,0
tire,mire,phonetic,0
dire,mire,phonetic,0
mice,mire,phonetic,0
mike,mire,phonetic,0
mime,mire,phonetic,0
fire,mire,phonetic,0
hire,mire,phonetic,0
mine,mire,phonetic,0
mile,mire,phonetic,0
wire,mire,phonetic,0
gun,bun,phonetic,0
nun,bun,phonetic,0
pun,bun,phonetic,0
bus,bun,phonetic,0
but,bun,phonetic,0
run,bun,phonetic,0
fun,bun,phonetic,0
bum,bun,phonetic,0
sun,bun,phonetic,0
bud,bun,phonetic,0
wept,west,phonetic,0
went,west,phonetic,0
welt,west,phonetic,0
best,west,phonetic,0
test,west,phonetic,0
pest,west,phonetic,0
vest,west,phonetic,0
lest,west,phonetic,0
nest,west,phonetic,0
rest,west,phonetic,0
bat,cat,phonetic,0
mat,cat,phonetic,0
pat,cat,phonetic,0
cam,cat,phonetic,0
cap,cat,phonetic,0
sat,cat,phonetic,0
fat,cat,phonetic,0
cab,cat,phonetic,0
hat,cat,phonetic,0
rat,cat,phonetic,0
loon,boon,phonetic,0
soon,boon,phonetic,0
coon,boon,phonetic,0
boom,boon,phonetic,0
boot,boon,phonetic,0
noon,boon,phonetic,0
moon,boon,phonetic,0
boos,boon,phonetic,0
goon,boon,phonetic,0
toon,boon,phonetic,0
tip,sip,phonetic,0
lip,sip,phonetic,0
hip,sip,phonetic,0
sis,sip,phonetic,0
sin,sip,phonetic,0
sit,sip,phonetic,0
dip,sip,phonetic,0
rip,sip,phonetic,0
six,sip,phonetic,0
nip,sip,phonetic,0
mole,role,phonetic,0
hole,role,phonetic,0
sole,role,phonetic,0
rose,role,phonetic,0
rope,role,phonetic,0
rode,role,phonetic,0
pole,role,phonetic,0
dole,role,phonetic,0
robe,role,phonetic,0
rote,role,phonetic,0
raw,,phonetic,1
pull,,phonetic,1
fur,,phonetic,1
now,,phonetic,1
toy,,phonetic,1
saw,,phonetic,1
wood,,phonetic,1
bird,,phonetic,1
loud,,phonetic,1
coin,,phonetic,1
yaw,,phonetic,1
book,,phonetic,1
perk,,phonetic,1
bout,,phonetic,1
foil,,phonetic,1
lawn,,phonetic,1
null,,phonetic,1
bur,,phonetic,1
cow,,phonetic,1
joy,,phonetic,1
